> Toronto-wiki-2016@0.0.1 upload /Users/jmazz/Documents/repos/wiki2016
> igemwiki upload-conf -y 2016 -n Toronto --conf igemwiki-conf.yml

uploaded[1420ms] ./build-live/css/styles_min_css -> http://2016.igem.org/Template:Toronto/css/styles_min_css
skipped[634ms] ./images/umar-owadally.jpg -> http://2016.igem.org/wiki/images/9/94/T--Toronto--2016_umar-owadally.jpg
skipped[794ms] ./images/team.jpg -> http://2016.igem.org/wiki/images/f/f4/T--Toronto--2016_team.jpg
skipped[629ms] ./images/seray-cicek.jpg -> http://2016.igem.org/wiki/images/1/1e/T--Toronto--2016_seray-cicek.jpg
skipped[695ms] ./images/quynh-cao.jpg -> http://2016.igem.org/wiki/images/e/e8/T--Toronto--2016_quynh-cao.jpg
uploaded[2617ms] ./images/lynelle-d'silva.jpg -> http://2016.igem.org/wiki/images/a/a0/T--Toronto--2016_lynelle-d%27silva.jpg
skipped[655ms] ./images/katariina-jaenes.jpg -> http://2016.igem.org/wiki/images/f/f3/T--Toronto--2016_katariina-jaenes.jpg
skipped[814ms] ./images/julian-mazzitelli.jpg -> http://2016.igem.org/wiki/images/2/22/T--Toronto--2016_julian-mazzitelli.jpg
skipped[713ms] ./images/joshua-efe.jpg -> http://2016.igem.org/wiki/images/c/c4/T--Toronto--2016_joshua-efe.jpg
skipped[1072ms] ./images/igem.png -> http://2016.igem.org/wiki/images/f/f2/T--Toronto--2016_igem.png
skipped[922ms] ./images/heba-farookhi.jpg -> http://2016.igem.org/wiki/images/3/39/T--Toronto--2016_heba-farookhi.jpg
skipped[1832ms] ./images/gabriela-morgenshtern.jpg -> http://2016.igem.org/wiki/images/1/19/T--Toronto--2016_gabriela-morgenshtern.jpg
skipped[1655ms] ./images/fahim-shahreer.jpg -> http://2016.igem.org/wiki/images/2/27/T--Toronto--2016_fahim-shahreer.jpg
skipped[1197ms] ./images/esther-jang.jpg -> http://2016.igem.org/wiki/images/6/60/T--Toronto--2016_esther-jang.jpg
skipped[1154ms] ./images/enea-koxhioni.jpg -> http://2016.igem.org/wiki/images/b/b1/T--Toronto--2016_enea-koxhioni.jpg
uploaded[6444ms] ./images/CHARLES?.jpg -> http://2016.igem.org/wiki/images/4/41/T--Toronto--2016_CHARLES%3F.jpg
skipped[3048ms] ./images/bohdan-lukach.jpg -> http://2016.igem.org/wiki/images/1/1e/T--Toronto--2016_bohdan-lukach.jpg
skipped[4770ms] ./images/anthony-zhao.jpg -> http://2016.igem.org/wiki/images/6/61/T--Toronto--2016_anthony-zhao.jpg
skipped[6157ms] ./images/andrea-xi-kang.jpg -> http://2016.igem.org/wiki/images/6/64/T--Toronto--2016_andrea-xi-kang.jpg
skipped[5489ms] ./images/alexander-sullivan.jpg -> http://2016.igem.org/wiki/images/f/f0/T--Toronto--2016_alexander-sullivan.jpg
skipped[5986ms] ./images/abraham-ogbaslase.jpg -> http://2016.igem.org/wiki/images/c/c3/T--Toronto--2016_abraham-ogbaslase.jpg
uploaded[14431ms] ./build-live/HP-Gold.html -> http://2016.igem.org/Team:Toronto/HP/Gold
uploaded[13391ms] ./build-live/HP-Silver.html -> http://2016.igem.org/Team:Toronto/HP/Silver
uploaded[4221ms] ./build-live/index.html -> http://2016.igem.org/Team:Toronto
uploaded[3303ms] ./build-live/Team.html -> http://2016.igem.org/Team:Toronto/Team
uploaded[2675ms] ./build-live/Software.html -> http://2016.igem.org/Team:Toronto/Software
uploaded[3500ms] ./build-live/Safety.html -> http://2016.igem.org/Team:Toronto/Safety
uploaded[2055ms] ./build-live/Results.html -> http://2016.igem.org/Team:Toronto/Results
uploaded[2456ms] ./build-live/Proof.html -> http://2016.igem.org/Team:Toronto/Proof
uploaded[3355ms] ./build-live/Parts.html -> http://2016.igem.org/Team:Toronto/Parts
uploaded[2285ms] ./build-live/Part_Collection.html -> http://2016.igem.org/Team:Toronto/Part_Collection
uploaded[1454ms] ./build-live/Notebook.html -> http://2016.igem.org/Team:Toronto/Notebook
uploaded[1297ms] ./build-live/Model.html -> http://2016.igem.org/Team:Toronto/Model
uploaded[1461ms] ./build-live/Measurement.html -> http://2016.igem.org/Team:Toronto/Measurement
